benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,signed_pass1_gap,signed_frs_gap,abs_pass1_gap,abs_frs_gap
MATH500,Qwen2.5-7B,Qwen3-4B,60.6,49.8,75.6,63.5,10.800000000000004,12.099999999999994,10.800000000000004,12.099999999999994
MATH500,Qwen2.5-Math,Qwen3-4B,63.6,49.8,77.5,63.5,13.800000000000004,14.0,13.800000000000004,14.0
SVAMP,DS-R1-1.5B,DS-R1-7B,65.8,91.1,96.9,99.0,-25.299999999999997,-2.0999999999999943,25.299999999999997,2.0999999999999943
SVAMP,DS-R1-1.5B,Gemma-7B,65.8,37.8,96.9,31.1,28.0,65.80000000000001,28.0,65.80000000000001
SVAMP,DS-R1-1.5B,LLaMA-3.1-8B,65.8,85.2,96.9,80.0,-19.400000000000006,16.900000000000006,19.400000000000006,16.900000000000006
SVAMP,DS-R1-1.5B,Phi-4,65.8,92.3,96.9,75.5,-26.5,21.400000000000006,26.5,21.400000000000006
SVAMP,DS-R1-1.5B,Phi-4-Reas.,65.8,94.6,96.9,74.8,-28.799999999999997,22.10000000000001,28.799999999999997,22.10000000000001
SVAMP,DS-R1-1.5B,Qwen2.5-7B,65.8,93.6,96.9,64.9,-27.799999999999997,32.0,27.799999999999997,32.0
SVAMP,DS-R1-1.5B,Qwen2.5-Math,65.8,90.8,96.9,74.5,-25.0,22.400000000000006,25.0,22.400000000000006
SVAMP,DS-R1-1.5B,Qwen3-4B,65.8,79.5,96.9,91.0,-13.700000000000003,5.900000000000006,13.700000000000003,5.900000000000006
SVAMP,DS-R1-7B,Gemma-7B,91.1,37.8,99.0,31.1,53.3,67.9,53.3,67.9
SVAMP,DS-R1-7B,LLaMA-3.1-8B,91.1,85.2,99.0,80.0,5.8999999999999915,19.0,5.8999999999999915,19.0
SVAMP,DS-R1-7B,Phi-4,91.1,92.3,99.0,75.5,-1.2000000000000028,23.5,1.2000000000000028,23.5
SVAMP,DS-R1-7B,Phi-4-Reas.,91.1,94.6,99.0,74.8,-3.5,24.200000000000003,3.5,24.200000000000003
SVAMP,DS-R1-7B,Qwen2.5-7B,91.1,93.6,99.0,64.9,-2.5,34.099999999999994,2.5,34.099999999999994
SVAMP,DS-R1-7B,Qwen2.5-Math,91.1,90.8,99.0,74.5,0.29999999999999716,24.5,0.29999999999999716,24.5
SVAMP,DS-R1-7B,Qwen3-4B,91.1,79.5,99.0,91.0,11.599999999999994,8.0,11.599999999999994,8.0
SVAMP,Gemma-7B,LLaMA-3.1-8B,37.8,85.2,31.1,80.0,-47.400000000000006,-48.9,47.400000000000006,48.9
SVAMP,Gemma-7B,Phi-4,37.8,92.3,31.1,75.5,-54.5,-44.4,54.5,44.4
