model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
LLaMA-3.1-8B,CSQA,faithfulness|factuality,F+Fa,2,68.5,50
LLaMA-3.1-8B,CSQA,faithfulness|utility,F+U,2,48.75,50
LLaMA-3.1-8B,CSQA,faithfulness|utility|factuality,F+U+Fa,3,60.16666666666667,50
LLaMA-3.1-8B,CSQA,utility,U,1,43.5,50
LLaMA-3.1-8B,CSQA,utility|factuality,U+Fa,2,63.25,50
LLaMA-3.1-8B,GPQA,coherence,C,1,51.0,50
LLaMA-3.1-8B,GPQA,coherence|factuality,C+Fa,2,53.0,50
LLaMA-3.1-8B,GPQA,coherence|utility,C+U,2,49.5,50
LLaMA-3.1-8B,GPQA,coherence|utility|factuality,C+U+Fa,3,51.33333333333333,50
LLaMA-3.1-8B,GPQA,factuality,Fa,1,55.0,50
LLaMA-3.1-8B,GPQA,faithfulness,F,1,48.0,50
LLaMA-3.1-8B,GPQA,faithfulness|coherence,F+C,2,49.5,50
LLaMA-3.1-8B,GPQA,faithfulness|coherence|factuality,F+C+Fa,3,51.33333333333333,50
LLaMA-3.1-8B,GPQA,faithfulness|coherence|utility,F+C+U,3,49.0,50
LLaMA-3.1-8B,GPQA,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,50.5,50
LLaMA-3.1-8B,GPQA,faithfulness|factuality,F+Fa,2,51.5,50
LLaMA-3.1-8B,GPQA,faithfulness|utility,F+U,2,48.0,50
LLaMA-3.1-8B,GPQA,faithfulness|utility|factuality,F+U+Fa,3,50.33333333333333,50
LLaMA-3.1-8B,GPQA,utility,U,1,48.0,50
LLaMA-3.1-8B,GPQA,utility|factuality,U+Fa,2,51.5,50
LLaMA-3.1-8B,GSM8K,coherence,C,1,77.0,50
LLaMA-3.1-8B,GSM8K,coherence|factuality,C+Fa,2,81.75,50
LLaMA-3.1-8B,GSM8K,coherence|utility,C+U,2,77.0,50
LLaMA-3.1-8B,GSM8K,coherence|utility|factuality,C+U+Fa,3,80.16666666666667,50
LLaMA-3.1-8B,GSM8K,factuality,Fa,1,86.5,50
LLaMA-3.1-8B,GSM8K,faithfulness,F,1,79.0,50
LLaMA-3.1-8B,GSM8K,faithfulness|coherence,F+C,2,78.0,50
LLaMA-3.1-8B,GSM8K,faithfulness|coherence|factuality,F+C+Fa,3,80.83333333333333,50
LLaMA-3.1-8B,GSM8K,faithfulness|coherence|utility,F+C+U,3,77.66666666666667,50
LLaMA-3.1-8B,GSM8K,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,79.875,50
LLaMA-3.1-8B,GSM8K,faithfulness|factuality,F+Fa,2,82.75,50
LLaMA-3.1-8B,GSM8K,faithfulness|utility,F+U,2,78.0,50
LLaMA-3.1-8B,GSM8K,faithfulness|utility|factuality,F+U+Fa,3,80.83333333333333,50
LLaMA-3.1-8B,GSM8K,utility,U,1,77.0,50
LLaMA-3.1-8B,GSM8K,utility|factuality,U+Fa,2,81.75,50
LLaMA-3.1-8B,MATH500,coherence,C,1,59.0,50
LLaMA-3.1-8B,MATH500,coherence|factuality,C+Fa,2,64.25,50
LLaMA-3.1-8B,MATH500,coherence|utility,C+U,2,57.0,50
LLaMA-3.1-8B,MATH500,coherence|utility|factuality,C+U+Fa,3,61.16666666666667,50
LLaMA-3.1-8B,MATH500,factuality,Fa,1,69.5,50
LLaMA-3.1-8B,MATH500,faithfulness,F,1,59.0,50
LLaMA-3.1-8B,MATH500,faithfulness|coherence,F+C,2,59.0,50
LLaMA-3.1-8B,MATH500,faithfulness|coherence|factuality,F+C+Fa,3,62.5,50
LLaMA-3.1-8B,MATH500,faithfulness|coherence|utility,F+C+U,3,57.66666666666667,50
LLaMA-3.1-8B,MATH500,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,60.625,50
LLaMA-3.1-8B,MATH500,faithfulness|factuality,F+Fa,2,64.25,50
LLaMA-3.1-8B,MATH500,faithfulness|utility,F+U,2,57.0,50
LLaMA-3.1-8B,MATH500,faithfulness|utility|factuality,F+U+Fa,3,61.16666666666667,50
LLaMA-3.1-8B,MATH500,utility,U,1,55.0,50
LLaMA-3.1-8B,MATH500,utility|factuality,U+Fa,2,62.25,50
LLaMA-3.1-8B,SVAMP,coherence,C,1,72.0,50
LLaMA-3.1-8B,SVAMP,coherence|factuality,C+Fa,2,81.5,50
LLaMA-3.1-8B,SVAMP,coherence|utility,C+U,2,73.75,50
LLaMA-3.1-8B,SVAMP,coherence|utility|factuality,C+U+Fa,3,79.5,50
LLaMA-3.1-8B,SVAMP,factuality,Fa,1,91.0,50
LLaMA-3.1-8B,SVAMP,faithfulness,F,1,81.5,50
LLaMA-3.1-8B,SVAMP,faithfulness|coherence,F+C,2,76.75,50
LLaMA-3.1-8B,SVAMP,faithfulness|coherence|factuality,F+C+Fa,3,81.5,50
LLaMA-3.1-8B,SVAMP,faithfulness|coherence|utility,F+C+U,3,76.33333333333333,50
LLaMA-3.1-8B,SVAMP,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,80.0,50
