model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
Gemma-7B,SVAMP,4,8,1.0,0.5,0.5,-0.2834992773077931,-0.29521585206640133,False,22,48.29545454545455
Gemma-7B,SVAMP,5,8,0.995,0.4975,0.49625935162094764,-0.2834992773077931,-0.26970450444269944,False,28,23.883928571428573
Gemma-7B,SVAMP,6,8,0.99375,0.496875,0.4953271028037383,-0.2834992773077931,-0.2929646544197894,False,26,28.365384615384617
Gemma-7B,SVAMP,7,8,0.995,0.4975,0.49625935162094764,-0.2834992773077931,-0.28737851428516753,False,18,42.708333333333336
Gemma-7B,SVAMP,8,8,1.0,0.5,0.5,-0.2834992773077931,-0.29676069875954914,False,26,20.91346153846154
Gemma-7B,SVAMP,9,8,0.985,0.4925,0.48883374689826303,-0.2834992773077931,-0.28408471758287424,False,27,28.00925925925926
Gemma-7B,SVAMP,0,4,1.0,0.25,0.25,-0.2834992773077931,-0.2880592095125615,False,12,31.25
Gemma-7B,SVAMP,1,4,0.96,0.24,0.2376237623762376,-0.2834992773077931,-0.2844481046126332,False,21,21.726190476190474
Gemma-7B,SVAMP,2,4,1.0,0.25,0.25,-0.2834992773077931,-0.29321859880250645,False,16,27.34375
Gemma-7B,SVAMP,3,4,0.9975,0.249375,0.24921923797626483,-0.2834992773077931,-0.28051493314116727,False,14,34.82142857142857
Gemma-7B,SVAMP,4,4,1.0,0.25,0.25,-0.2834992773077931,-0.3116431595709956,False,18,29.86111111111111
Gemma-7B,SVAMP,5,4,0.9975,0.249375,0.24921923797626483,-0.2834992773077931,-0.2734646792163401,False,12,42.1875
Gemma-7B,SVAMP,6,4,1.0,0.25,0.25,-0.2834992773077931,-0.27037886742986245,False,10,23.75
Gemma-7B,SVAMP,7,4,0.9725,0.243125,0.2414649286157666,-0.2834992773077931,-0.28052238509868826,False,17,36.39705882352941
Gemma-7B,SVAMP,8,4,0.9475,0.236875,0.2338062924120913,-0.2834992773077931,-0.26282123893261977,False,12,27.083333333333332
Gemma-7B,SVAMP,9,4,1.0,0.25,0.25,-0.2834992773077931,-0.29310858257784583,False,8,44.53125
LLaMA-3.1-8B,AQuA,0,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.03501280633088953,False,23,52.71739130434783
LLaMA-3.1-8B,AQuA,1,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,-0.01182202130481874,True,28,49.776785714285715
LLaMA-3.1-8B,AQuA,2,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.057738843083944245,False,25,56.5
LLaMA-3.1-8B,AQuA,3,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.08898701465903722,False,28,55.580357142857146
LLaMA-3.1-8B,AQuA,4,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.05399642642877504,False,28,50.892857142857146
LLaMA-3.1-8B,AQuA,5,8,0.9803921568627451,0.4914004914004914,0.48661800486618007,0.03778036064244679,0.06278346148428271,False,27,53.24074074074074
LLaMA-3.1-8B,AQuA,6,8,0.9362745098039216,0.4692874692874693,0.45476190476190476,0.03778036064244679,0.048896731341085395,False,24,51.302083333333336
LLaMA-3.1-8B,AQuA,7,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.04014357762548303,False,29,55.81896551724138
LLaMA-3.1-8B,AQuA,8,8,0.9313725490196079,0.4668304668304668,0.4513064133016627,0.03778036064244679,0.017035293773398588,False,25,52.5
LLaMA-3.1-8B,AQuA,9,8,1.0,0.5012285012285013,0.5012285012285013,0.03778036064244679,0.05390823661056855,False,29,54.741379310344826
LLaMA-3.1-8B,AQuA,0,4,1.0,0.25061425061425063,0.25061425061425063,0.03778036064244679,-0.055185764285259356,True,11,65.9090909090909
LLaMA-3.1-8B,AQuA,1,4,0.9901960784313726,0.24815724815724816,0.24754901960784315,0.03778036064244679,0.120798273250718,False,7,41.07142857142857
LLaMA-3.1-8B,AQuA,2,4,0.9313725490196079,0.2334152334152334,0.22946859903381642,0.03778036064244679,0.0052086127284984044,False,15,45.0
LLaMA-3.1-8B,AQuA,3,4,1.0,0.25061425061425063,0.25061425061425063,0.03778036064244679,0.11000760558332011,False,12,46.354166666666664
LLaMA-3.1-8B,AQuA,4,4,1.0,0.25061425061425063,0.25061425061425063,0.03778036064244679,0.02277348831349287,False,15,46.666666666666664
LLaMA-3.1-8B,AQuA,5,4,0.9117647058823529,0.2285012285012285,0.22355769230769232,0.03778036064244679,-0.05251396423606799,True,7,63.392857142857146
LLaMA-3.1-8B,AQuA,6,4,0.9803921568627451,0.2457002457002457,0.24449877750611246,0.03778036064244679,-0.017730527582923733,True,14,46.42857142857143
LLaMA-3.1-8B,AQuA,7,4,1.0,0.25061425061425063,0.25061425061425063,0.03778036064244679,-0.003040554692954779,True,12,64.0625
LLaMA-3.1-8B,AQuA,8,4,0.9705882352941176,0.24324324324324326,0.24146341463414633,0.03778036064244679,0.06930731959889225,False,15,59.583333333333336
LLaMA-3.1-8B,AQuA,9,4,0.9607843137254902,0.24078624078624078,0.2384428223844282,0.03778036064244679,0.03292794279180738,False,10,56.875
LLaMA-3.1-8B,CommonsenseQA,0,8,0.9989764585465711,0.49948822927328557,0.49923273657289,0.10174884576050221,0.11862895474251019,False,32,54.6875
LLaMA-3.1-8B,CommonsenseQA,1,8,0.9948822927328557,0.49744114636642783,0.49617151607963245,0.10174884576050221,0.11149950174743581,False,25,54.75
LLaMA-3.1-8B,CommonsenseQA,2,8,1.0,0.5,0.5,0.10174884576050221,0.09853173613207059,False,25,52.25
LLaMA-3.1-8B,CommonsenseQA,3,8,1.0,0.5,0.5,0.10174884576050221,0.1124323361052492,False,21,59.82142857142857
LLaMA-3.1-8B,CommonsenseQA,4,8,0.9825997952917093,0.49129989764585463,0.487062404870624,0.10174884576050221,0.09515991563667385,False,31,55.846774193548384
LLaMA-3.1-8B,CommonsenseQA,5,8,1.0,0.5,0.5,0.10174884576050221,0.09792503938187294,False,22,49.14772727272727
LLaMA-3.1-8B,CommonsenseQA,6,8,1.0,0.5,0.5,0.10174884576050221,0.12199932890045241,False,25,53.5
LLaMA-3.1-8B,CommonsenseQA,7,8,1.0,0.5,0.5,0.10174884576050221,0.0912386969424409,False,16,49.21875
LLaMA-3.1-8B,CommonsenseQA,8,8,1.0,0.5,0.5,0.10174884576050221,0.0869690359103907,False,25,53.75
LLaMA-3.1-8B,CommonsenseQA,9,8,0.9928352098259979,0.49641760491299897,0.4946455889852116,0.10174884576050221,0.11321098891137513,False,27,56.71296296296296
LLaMA-3.1-8B,CommonsenseQA,0,4,0.9979550102249489,0.24974411463664278,0.249616368286445,0.10174884576050221,0.08163220141577722,False,12,58.854166666666664
LLaMA-3.1-8B,CommonsenseQA,1,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.08534717254727395,False,13,54.80769230769231
LLaMA-3.1-8B,CommonsenseQA,2,4,0.9447852760736196,0.23643807574206754,0.2332155477031802,0.10174884576050221,0.11535150133021205,False,17,50.0
LLaMA-3.1-8B,CommonsenseQA,3,4,0.9856850715746421,0.24667349027635618,0.24579296277409485,0.10174884576050221,0.06423977224051608,False,9,62.5
LLaMA-3.1-8B,CommonsenseQA,4,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.0994520713744034,False,10,50.625
LLaMA-3.1-8B,CommonsenseQA,5,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.10817360900220362,False,14,57.589285714285715
LLaMA-3.1-8B,CommonsenseQA,6,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.10412870753085997,False,10,53.75
LLaMA-3.1-8B,CommonsenseQA,7,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.10548509967885121,False,12,49.479166666666664
LLaMA-3.1-8B,CommonsenseQA,8,4,1.0,0.2502558853633572,0.2502558853633572,0.10174884576050221,0.13000732158066935,False,9,47.916666666666664
